symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2016-01-04 05:00:00+00:00,102.61,105.368,102.0,105.35,71935339.0,351452.0,104.091749
AAPL,2016-01-05 05:00:00+00:00,105.75,105.85,102.41,102.71,58690536.0,321365.0,103.400868
AAPL,2016-01-06 05:00:00+00:00,100.56,102.37,99.87,100.7,71079827.0,409164.0,100.843959
AAPL,2016-01-07 05:00:00+00:00,98.68,100.13,96.43,96.45,85996453.0,462836.0,98.011371
AAPL,2016-01-08 05:00:00+00:00,98.55,99.11,96.76,96.96,75066292.0,419555.0,97.897369
AAPL,2016-01-11 05:00:00+00:00,98.97,99.06,97.34,98.53,52375648.0,292283.0,98.165132
AAPL,2016-01-12 05:00:00+00:00,100.55,100.69,98.8399,99.96,51870901.0,282811.0,99.77156
AAPL,2016-01-13 05:00:00+00:00,100.32,101.19,97.3,97.39,64725429.0,362017.0,99.306767
AAPL,2016-01-14 05:00:00+00:00,97.96,100.48,95.74,99.52,65793807.0,362782.0,98.340214
AAPL,2016-01-15 05:00:00+00:00,96.2,97.71,95.36,97.13,86255486.0,446779.0,96.708085
AAPL,2016-01-19 05:00:00+00:00,98.41,98.65,95.5,96.66,55291216.0,291405.0,96.892014
AAPL,2016-01-20 05:00:00+00:00,95.1,98.1897,93.42,96.79,76814602.0,431731.0,95.297031
AAPL,2016-01-21 05:00:00+00:00,97.06,97.88,94.94,96.3,53874569.0,301289.0,96.639514
AAPL,2016-01-22 05:00:00+00:00,98.63,101.46,98.37,101.42,68555074.0,375004.0,100.074725
AAPL,2016-01-25 05:00:00+00:00,101.52,101.53,99.21,99.44,56705555.0,281834.0,100.345341
AAPL,2016-01-26 05:00:00+00:00,99.93,100.88,98.07,99.99,76898628.0,402740.0,99.722455
AAPL,2016-01-27 05:00:00+00:00,96.04,96.6289,93.34,93.42,136157631.0,683978.0,94.872741
AAPL,2016-01-28 05:00:00+00:00,93.79,94.52,92.39,94.09,57382491.0,338199.0,93.636811
AAPL,2016-01-29 05:00:00+00:00,94.79,97.34,94.35,97.34,72474634.0,330709.0,96.359208
AAPL,2016-02-01 05:00:00+00:00,96.47,96.71,95.4,96.43,42902576.0,236718.0,96.236623
AAPL,2016-02-02 05:00:00+00:00,95.42,96.04,94.28,94.48,39134721.0,232923.0,95.04856
AAPL,2016-02-03 05:00:00+00:00,95.0,96.84,94.08,96.35,47879172.0,297823.0,95.375229
AAPL,2016-02-04 05:00:00+00:00,95.86,97.33,95.19,96.6,48499674.0,265046.0,96.317915
AAPL,2016-02-05 05:00:00+00:00,96.52,96.92,93.69,94.02,48376190.0,288496.0,94.906666
AAPL,2016-02-08 05:00:00+00:00,93.13,95.7,93.04,95.01,57227983.0,353981.0,94.242082
AAPL,2016-02-09 05:00:00+00:00,94.29,95.94,93.93,94.99,45772069.0,273871.0,94.861707
AAPL,2016-02-10 05:00:00+00:00,95.92,96.35,94.1,94.27,43826931.0,265625.0,95.243354
AAPL,2016-02-11 05:00:00+00:00,93.79,94.72,92.59,93.7,52982364.0,315319.0,93.594302
